replicate,rank,top-1320 model,top-1320 acquired
1,0,0.09772727272727273,0.0
1,1,0.07424242424242425,0.0022727272727272726
1,2,0.09772727272727273,0.0030303030303030303
1,3,0.1,0.006060606060606061
1,4,0.1143939393939394,0.010606060606060607
1,5,0.1159090909090909,0.015151515151515152
2,0,0.07803030303030303,0.0
2,1,0.10454545454545454,0.0015151515151515152
2,2,0.09242424242424242,0.00909090909090909
2,3,0.13106060606060607,0.014393939393939395
2,4,0.15454545454545454,0.022727272727272728
2,5,0.14696969696969697,0.030303030303030304
3,0,0.04696969696969697,0.0007575757575757576
3,1,0.10303030303030303,0.0030303030303030303
3,2,0.1393939393939394,0.004545454545454545
3,3,0.1696969696969697,0.008333333333333333
3,4,0.17575757575757575,0.015909090909090907
3,5,0.1696969696969697,0.029545454545454545
4,0,0.17272727272727273,0.0
4,1,0.25984848484848483,0.003787878787878788
4,2,0.22803030303030303,0.015151515151515152
4,3,0.2833333333333333,0.024242424242424242
4,4,0.2446969696969697,0.037121212121212124
4,5,0.2015151515151515,0.04924242424242424
5,0,0.0856060606060606,0.0
5,1,0.09318181818181819,0.0022727272727272726
5,2,0.16363636363636364,0.004545454545454545
5,3,0.2196969696969697,0.010606060606060607
5,4,0.2265151515151515,0.01818181818181818
5,5,0.23484848484848486,0.02803030303030303
6,0,0.038636363636363635,0.0
6,1,0.07121212121212121,0.0007575757575757576
6,2,0.07424242424242425,0.0030303030303030303
6,3,0.06363636363636363,0.006818181818181818
6,4,0.09090909090909091,0.008333333333333333
6,5,0.10075757575757575,0.015151515151515152
7,0,0.03257575757575758,0.0
7,1,0.024242424242424242,0.0007575757575757576
7,2,0.020454545454545454,0.0007575757575757576
7,3,0.017424242424242425,0.0015151515151515152
7,4,0.025757575757575757,0.0015151515151515152
7,5,0.031818181818181815,0.0022727272727272726
8,0,0.09090909090909091,0.0
8,1,0.09848484848484848,0.0007575757575757576
8,2,0.19166666666666668,0.006818181818181818
8,3,0.22954545454545455,0.017424242424242425
8,4,0.22272727272727272,0.023484848484848483
8,5,0.25075757575757573,0.03333333333333333
9,0,0.07651515151515151,0.0
9,1,0.09166666666666666,0.0022727272727272726
9,2,0.16590909090909092,0.0030303030303030303
9,3,0.22424242424242424,0.013636363636363636
9,4,0.19545454545454546,0.022727272727272728
9,5,0.16590909090909092,0.02878787878787879
10,0,0.03333333333333333,0.0
10,1,0.07121212121212121,0.0
10,2,0.15454545454545454,0.0030303030303030303
10,3,0.14772727272727273,0.011363636363636364
10,4,0.17424242424242425,0.01893939393939394
10,5,0.21818181818181817,0.02878787878787879
11,0,0.07575757575757576,0.0
11,1,0.07954545454545454,0.0
11,2,0.10075757575757575,0.0015151515151515152
11,3,0.14924242424242423,0.00909090909090909
11,4,0.14393939393939395,0.017424242424242425
11,5,0.20606060606060606,0.020454545454545454
12,0,0.05909090909090909,0.0
12,1,0.12954545454545455,0.0007575757575757576
12,2,0.15757575757575756,0.006060606060606061
12,3,0.13636363636363635,0.012121212121212121
12,4,0.1803030303030303,0.019696969696969695
12,5,0.18106060606060606,0.024242424242424242
13,0,0.10984848484848485,0.0
13,1,0.14545454545454545,0.0022727272727272726
13,2,0.1946969696969697,0.013636363636363636
13,3,0.23106060606060605,0.023484848484848483
13,4,0.3,0.031818181818181815
13,5,0.3068181818181818,0.041666666666666664
14,0,0.05227272727272727,0.0
14,1,0.03484848484848485,0.0015151515151515152
14,2,0.05909090909090909,0.0022727272727272726
14,3,0.0803030303030303,0.003787878787878788
14,4,0.11742424242424243,0.006818181818181818
14,5,0.11060606060606061,0.011363636363636364
15,0,0.09090909090909091,0.0
15,1,0.06287878787878788,0.0015151515151515152
15,2,0.11212121212121212,0.0015151515151515152
15,3,0.12727272727272726,0.003787878787878788
15,4,0.1318181818181818,0.00909090909090909
15,5,0.15075757575757576,0.017424242424242425
16,0,0.11818181818181818,0.0
16,1,0.12045454545454545,0.0015151515151515152
16,2,0.12196969696969696,0.007575757575757576
16,3,0.2287878787878788,0.013636363636363636
16,4,0.2818181818181818,0.020454545454545454
16,5,0.30454545454545456,0.030303030303030304
17,0,0.05454545454545454,0.0
17,1,0.08712121212121213,0.0007575757575757576
17,2,0.07045454545454545,0.0022727272727272726
17,3,0.07575757575757576,0.003787878787878788
17,4,0.08787878787878788,0.006818181818181818
17,5,0.08333333333333333,0.010606060606060607
18,0,0.10378787878787879,0.0
18,1,0.16287878787878787,0.004545454545454545
18,2,0.14696969696969697,0.016666666666666666
18,3,0.15,0.02803030303030303
18,4,0.15984848484848485,0.03636363636363636
18,5,0.16893939393939394,0.04772727272727273
19,0,0.06515151515151515,0.0
19,1,0.12803030303030302,0.0015151515151515152
19,2,0.09242424242424242,0.006818181818181818
19,3,0.13484848484848486,0.00909090909090909
19,4,0.15378787878787878,0.012878787878787878
19,5,0.13787878787878788,0.017424242424242425
20,0,0.12045454545454545,0.0
20,1,0.15227272727272728,0.007575757575757576
20,2,0.11742424242424243,0.009848484848484848
20,3,0.10681818181818181,0.015909090909090907
20,4,0.11060606060606061,0.01893939393939394
20,5,0.11060606060606061,0.024242424242424242
21,0,0.10075757575757575,0.0007575757575757576
21,1,0.12424242424242424,0.006060606060606061
21,2,0.12272727272727273,0.010606060606060607
21,3,0.1303030303030303,0.013636363636363636
21,4,0.13560606060606062,0.01893939393939394
21,5,0.16590909090909092,0.023484848484848483
22,0,0.13484848484848486,0.0
22,1,0.1053030303030303,0.0022727272727272726
22,2,0.08484848484848485,0.008333333333333333
22,3,0.09545454545454546,0.009848484848484848
22,4,0.13636363636363635,0.012878787878787878
22,5,0.12803030303030302,0.015909090909090907
23,0,0.10833333333333334,0.0007575757575757576
23,1,0.059848484848484845,0.005303030303030303
23,2,0.11136363636363636,0.00909090909090909
23,3,0.11818181818181818,0.012121212121212121
23,4,0.11212121212121212,0.015909090909090907
23,5,0.12575757575757576,0.021212121212121213
24,0,0.175,0.0
24,1,0.21363636363636362,0.009848484848484848
24,2,0.20227272727272727,0.02196969696969697
24,3,0.21893939393939393,0.03106060606060606
24,4,0.23333333333333334,0.04015151515151515
24,5,0.2590909090909091,0.05378787878787879
25,0,0.08712121212121213,0.0
25,1,0.035606060606060606,0.0
25,2,0.06363636363636363,0.0
25,3,0.08106060606060606,0.0015151515151515152
25,4,0.09924242424242424,0.0022727272727272726
25,5,0.14393939393939395,0.008333333333333333
26,0,0.15984848484848485,0.0
26,1,0.07575757575757576,0.004545454545454545
26,2,0.07348484848484849,0.01893939393939394
26,3,0.0893939393939394,0.024242424242424242
26,4,0.10984848484848485,0.02727272727272727
26,5,0.1159090909090909,0.03409090909090909
27,0,0.10454545454545454,0.0
27,1,0.1143939393939394,0.0015151515151515152
27,2,0.13712121212121212,0.008333333333333333
27,3,0.15,0.012121212121212121
27,4,0.1484848484848485,0.019696969696969695
27,5,0.17575757575757575,0.023484848484848483
28,0,0.10227272727272728,0.0
28,1,0.08181818181818182,0.003787878787878788
28,2,0.11363636363636363,0.005303030303030303
28,3,0.12424242424242424,0.009848484848484848
28,4,0.13787878787878788,0.013636363636363636
28,5,0.16515151515151516,0.022727272727272728
29,0,0.045454545454545456,0.0
29,1,0.04090909090909091,0.0007575757575757576
29,2,0.0946969696969697,0.0022727272727272726
29,3,0.0856060606060606,0.0030303030303030303
29,4,0.10606060606060606,0.006818181818181818
29,5,0.12651515151515152,0.008333333333333333
30,0,0.06742424242424243,0.0
30,1,0.12954545454545455,0.0007575757575757576
30,2,0.12575757575757576,0.006060606060606061
30,3,0.15303030303030302,0.014393939393939395
30,4,0.1484848484848485,0.020454545454545454
30,5,0.16666666666666666,0.02727272727272727
